,Anomalies(#),Blockade(#),RemoraAttacks(#),Time,index
21,21,7,14,345.0,8
22,22,7,15,345.0,8
23,23,7,16,332.0,8
24,24,8,16,325.0,8
25,25,9,16,320.0,8
26,26,9,17,315.0,8
27,27,9,18,294.0,8
28,28,10,18,292.0,8
29,29,11,18,283.0,8
30,30,12,18,276.0,8
31,31,13,18,252.0,8
32,32,13,19,242.0,8
33,33,13,20,222.0,8
34,34,14,20,210.0,8
35,35,14,21,209.0,8
36,36,15,21,180.0,8
37,37,16,21,173.0,8
38,38,16,22,171.0,8
39,39,17,22,164.0,8
40,40,17,23,156.0,8
41,41,17,24,110.0,8
42,42,17,25,0.0,8
0,0,0,0,599.0,9
1,1,0,1,585.0,9
2,2,0,2,567.0,9
3,3,1,2,558.0,9
4,4,1,3,553.0,9
5,5,1,4,545.0,9
6,6,1,5,531.0,9
7,7,2,5,524.0,9
8,8,2,6,517.0,9
9,9,3,6,487.0,9
10,10,3,7,487.0,9
11,11,4,7,479.0,9
12,12,4,8,464.0,9
13,13,4,9,449.0,9
14,14,5,9,444.0,9
15,15,6,9,432.0,9
16,16,6,10,431.0,9
17,17,7,10,419.0,9
18,18,7,11,414.0,9
19,19,7,12,393.0,9
20,20,7,13,385.0,9
21,21,7,14,363.0,9
22,22,7,15,346.0,9
23,23,7,16,334.0,9
24,24,7,17,317.0,9
25,25,7,18,294.0,9
26,26,8,18,289.0,9
27,27,9,18,284.0,9
28,28,10,18,255.0,9
29,29,10,19,245.0,9
30,30,11,19,242.0,9
31,31,11,20,226.0,9
32,32,12,20,224.0,9
33,33,12,21,215.0,9
34,34,12,22,177.0,9
35,35,12,23,161.0,9
36,36,13,23,143.0,9
37,37,13,24,141.0,9
38,38,13,25,104.0,9
39,39,13,26,76.0,9
40,40,13,27,55.0,9
41,41,13,28,34.0,9
42,42,13,29,11.0,9
43,43,14,29,1.0,9
0,0,0,0,599.0,10
1,1,0,1,586.0,10
2,2,0,2,567.0,10
3,3,0,3,553.0,10
4,4,0,4,545.0,10
5,5,1,4,539.0,10
6,6,1,5,532.0,10
7,7,1,6,519.0,10
8,8,1,7,488.0,10
9,9,2,7,482.0,10
10,10,2,8,465.0,10
11,11,3,8,449.0,10
12,12,3,9,446.0,10
13,13,3,10,427.0,10
14,14,4,10,418.0,10
15,15,4,11,407.0,10
16,16,4,12,385.0,10
17,17,5,12,380.0,10
18,18,5,13,379.0,10
19,19,6,13,372.0,10
20,20,7,13,367.0,10
21,21,7,14,358.0,10
22,22,7,15,340.0,10
23,23,8,15,329.0,10
24,24,8,16,328.0,10
25,25,9,16,313.0,10
26,26,9,17,308.0,10
27,27,9,18,280.0,10
28,28,10,18,273.0,10
29,29,11,18,246.0,10
30,30,12,18,240.0,10
31,31,12,19,238.0,10
32,32,13,19,219.0,10
33,33,13,20,218.0,10
34,34,14,20,212.0,10
35,35,14,21,204.0,10
36,36,15,21,194.0,10
37,37,16,21,172.0,10
38,38,16,22,165.0,10
39,39,16,23,150.0,10
40,40,17,23,133.0,10
41,41,17,24,126.0,10
42,42,17,25,40.0,10
0,0,0,0,599.0,11
1,1,0,1,584.0,11
2,2,1,1,570.0,11
3,3,1,2,567.0,11
4,4,2,2,558.0,11
5,5,2,3,553.0,11
6,6,2,4,545.0,11
7,7,3,4,542.0,11
8,8,3,5,530.0,11
9,9,3,6,517.0,11
10,10,4,6,503.0,11
11,11,5,6,497.0,11
12,12,5,7,486.0,11
13,13,5,8,460.0,11
14,14,5,9,441.0,11
15,15,5,10,422.0,11
16,16,5,11,404.0,11
17,17,6,11,400.0,11
18,18,6,12,383.0,11
19,19,6,13,378.0,11
20,20,6,14,357.0,11
21,21,7,14,351.0,11
22,22,8,14,343.0,11
23,23,8,15,342.0,11
24,24,8,16,331.0,11
25,25,8,17,311.0,11
26,26,9,17,306.0,11
27,27,10,17,299.0,11
28,28,10,18,282.0,11
29,29,11,18,277.0,11
30,30,12,18,273.0,11
31,31,13,18,266.0,11
32,32,14,18,258.0,11
33,33,14,19,242.0,11
34,34,14,20,222.0,11
35,35,15,20,211.0,11
36,36,15,21,210.0,11
37,37,16,21,184.0,11
38,39,17,22,173.0,11
39,40,17,23,157.0,11
40,41,18,23,154.0,11
41,42,18,24,134.0,11
42,43,19,24,114.0,11
43,44,19,25,93.0,11
44,45,19,26,38.0,11
45,46,19,27,6.0,11
0,0,0,0,599.0,12
1,1,1,0,589.0,12
2,2,1,1,584.0,12
3,3,2,1,578.0,12
4,4,2,2,566.0,12
5,5,2,3,552.0,12
6,6,2,4,544.0,12
7,7,2,5,532.0,12
8,8,2,6,519.0,12
9,9,3,6,509.0,12
10,10,4,6,495.0,12
11,11,4,7,490.0,12
12,12,5,7,475.0,12
13,13,5,8,468.0,12
14,14,6,8,466.0,12
15,15,6,9,449.0,12
16,16,7,9,441.0,12
17,17,7,10,430.0,12
18,18,8,10,428.0,12
19,19,9,10,416.0,12
20,20,9,11,412.0,12
21,21,9,12,391.0,12
22,22,9,13,386.0,12
23,23,10,13,378.0,12
24,24,10,14,366.0,12
25,25,10,15,349.0,12
26,26,10,16,336.0,12
27,27,10,17,317.0,12
28,28,10,18,289.0,12
29,29,11,18,266.0,12
30,30,11,19,247.0,12
31,31,12,19,244.0,12
32,32,12,20,227.0,12
33,33,13,20,224.0,12
34,34,13,21,215.0,12
35,35,14,21,206.0,12
36,36,15,21,202.0,12
37,37,16,21,180.0,12
38,38,16,22,175.0,12
39,39,17,22,164.0,12
40,40,17,23,163.0,12
41,41,17,24,140.0,12
42,42,18,24,133.0,12
43,43,19,24,121.0,12
44,44,19,25,99.0,12
45,45,19,26,13.0,12
0,0,0,0,599.0,13
1,1,0,1,584.0,13
2,2,1,1,579.0,13
3,3,1,2,566.0,13
4,4,1,3,551.0,13
5,5,2,3,544.0,13
6,6,3,3,543.0,13
7,7,3,4,543.0,13
8,8,3,5,529.0,13
9,9,3,6,514.0,13
10,10,4,6,490.0,13
11,11,4,7,485.0,13
12,12,5,7,481.0,13
13,13,5,8,463.0,13
14,14,6,8,456.0,13
15,15,6,9,443.0,13
16,16,6,10,425.0,13
17,17,6,11,405.0,13
18,18,6,12,383.0,13
19,19,6,13,376.0,13
20,20,7,13,355.0,13
21,21,7,14,353.0,13
22,22,8,14,348.0,13
23,23,8,15,338.0,13
24,24,8,16,326.0,13
25,25,9,16,310.0,13
26,26,9,17,308.0,13
27,27,10,17,304.0,13
28,28,10,18,286.0,13
29,29,11,18,279.0,13
30,30,12,18,272.0,13
31,31,13,18,263.0,13
32,32,14,18,253.0,13
33,33,15,18,238.0,13
34,34,15,19,233.0,13
35,35,16,19,222.0,13
36,36,16,20,212.0,13
37,37,16,21,200.0,13
38,38,17,21,184.0,13
39,39,18,21,163.0,13
40,40,18,22,160.0,13
41,41,18,23,144.0,13
42,42,19,23,141.0,13
43,43,19,24,13.0,13
0,0,0,0,599.0,14
1,1,0,1,586.0,14
2,2,0,2,567.0,14
3,3,1,2,559.0,14
4,4,1,3,553.0,14
5,5,1,4,545.0,14
6,6,2,4,532.0,14
7,7,2,5,531.0,14
8,8,3,5,520.0,14
9,9,3,6,517.0,14
10,10,4,6,504.0,14
11,11,4,7,486.0,14
12,12,5,7,465.0,14
13,13,5,8,461.0,14
14,14,6,8,453.0,14
15,15,6,9,443.0,14
16,16,7,9,423.0,14
17,17,7,10,422.0,14
18,18,8,10,417.0,14
19,19,9,10,409.0,14
