,Anomalies(#),Blockade(#),DeepSurveyedGoals(#),DeepSurveyedGoals(Positions),Goals(#),Hotspots(Positions),RemoraAttacks(#),SurveyedGoals(#),SurveyedGoals(Positions),Time,index
8,0,0,0,,8,Tx3y1,0,8,Tx0y0;Tx0y1;Tx2y1;Tx2y2;Tx3y1;Tx3y0;Tx1y0;Tx1y1,532.0,2
9,0,0,0,,9,Tx3y1,0,9,Tx0y0;Tx0y1;Tx2y1;Tx2y2;Tx3y1;Tx3y0;Tx1y0;Tx3y2;Tx1y1,521.0,2
10,0,0,0,,10,Tx3y1,0,10,Tx0y0;Tx0y1;Tx4y1;Tx2y1;Tx2y2;Tx3y1;Tx3y0;Tx1y0;Tx3y2;Tx1y1,511.0,2
11,0,0,0,,11,Tx3y1,0,11,Tx0y0;Tx0y1;Tx4y1;Tx2y1;Tx2y2;Tx3y1;Tx3y0;Tx1y0;Tx3y2;Tx2y0;Tx1y1,499.0,2
12,0,0,0,,12,Tx3y1,0,12,Tx0y0;Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx3y0;Tx1y0;Tx3y2;Tx2y0;Tx1y1,489.0,2
13,0,0,0,,13,Tx3y1,0,13,Tx0y0;Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx3y0;Tx1y0;Tx2y0;Tx1y1,475.0,2
14,0,0,0,,14,Tx3y1,0,14,Tx0y0;Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx0y2;Tx3y0;Tx1y0;Tx2y0;Tx1y1,466.0,2
15,0,0,0,,15,Tx3y1;Tx1y3,0,15,Tx0y0;Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx0y2;Tx3y0;Tx1y0;Tx2y0;Tx1y3;Tx1y1,457.0,2
16,0,0,0,,16,Tx3y1;Tx1y3,0,16,Tx0y0;Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx1y2;Tx0y2;Tx3y0;Tx1y0;Tx3y2;Tx2y0;Tx1y3;Tx1y4;Tx1y1,449.0,2
17,0,0,0,,17,Tx3y1;Tx1y3,0,17,Tx0y0;Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx0y2;Tx3y0;Tx1y0;Tx2y0;Tx1y3;Tx1y4;Tx1y1,439.0,2
18,0,0,0,,18,Tx3y1;Tx1y3,0,18,Tx0y0;Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx0y2;Tx3y0;Tx1y0;Tx2y3;Tx2y0;Tx1y3;Tx1y4;Tx1y1,428.0,2
19,0,0,0,,19,Tx3y1;Tx1y3,0,19,Tx0y0;Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx0y2;Tx3y3;Tx3y0;Tx1y0;Tx2y3;Tx2y0;Tx1y3;Tx1y4;Tx1y1,419.0,2
20,0,0,0,,20,Tx3y1;Tx1y3,0,20,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx2y0;Tx1y3;Tx1y4;Tx1y1;Tx2y2,410.0,2
21,0,0,0,,21,Tx3y1;Tx1y3,0,21,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx2y0;Tx1y3;Tx1y4;Tx1y1;Tx2y2,400.0,2
22,0,0,0,,22,Tx3y1;Tx1y3,0,22,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx1y3;Tx1y4;Tx1y1;Tx2y2,388.0,2
23,0,0,0,,23,Tx3y1;Tx1y3,0,23,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx4y3;Tx1y3;Tx1y4;Tx1y1;Tx2y2,343.0,2
24,0,0,0,,24,Tx3y1;Tx1y3,0,24,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx2y2,334.0,2
